#id   arrival    runtime    priority   dependencyId        
1     3          24         2          -1                  
2     5          9          4          1                   
3     12         24         9          -1                  
4     16         29         5          1                   
5     18         28         0          3                   
6     25         18         5          -1                  
7     32         27         9          -1                  
8     34         12         7          -1                  
9     40         17         5          6                   
10    41         16         3          4                   
11    49         1          6          7                   
12    50         9          4          9                   
13    55         3          8          7                   
14    60         16         7          -1                  
15    61         13         2          -1                  
16    62         6          3          -1                  
17    63         6          4          -1                  
18    65         13         7          17                  
19    71         18         7          -1                  
20    75         18         8          18                  
21    77         29         3          -1                  
22    77         16         4          -1                  
23    78         11         7          -1                  
24    84         27         9          23                  
25    93         12         3          -1                  
26    102        27         8          25                  
27    112        19         10         26                  
28    113        16         1          -1                  
29    113        13         0          -1                  
30    115        14         7          26                  
31    120        7          6          -1                  
32    122        3          4          -1                  
33    129        20         5          -1                  
34    130        12         2          -1                  
35    131        1          0          -1                  
36    132        5          1          33                  
37    133        23         8          33                  
38    140        27         0          -1                  
39    140        6          0          33                  
40    147        25         0          -1                  
41    150        26         7          -1                  
42    154        27         2          -1                  
43    160        29         4          -1                  
44    163        9          2          40                  
45    164        9          0          42                  
46    164        19         4          -1                  
47    172        21         2          -1                  
48    175        5          9          -1                  
49    183        17         4          -1                  
50    188        28         6          -1                  
51    193        8          1          -1                  
52    200        15         7          51                  
53    207        17         0          50                  
54    207        4          8          -1                  
55    217        9          7          -1                  
56    225        5          6          -1                  
57    235        25         5          -1                  
58    240        1          1          -1                  
59    245        4          5          -1                  
60    253        19         7          -1                  
61    256        28         9          -1                  
62    260        1          2          61                  
63    269        24         10         -1                  
64    271        29         6          61                  
65    280        22         10         61                  
66    284        2          4          -1                  
67    287        21         10         -1                  
68    297        9          3          65                  
69    305        7          4          67                  
70    305        29         7          -1                  
71    307        8          9          -1                  
72    308        5          1          67                  
73    313        11         2          72                  
74    322        5          2          70                  
75    325        27         8          70                  
76    326        20         5          -1                  
77    330        5          0          76                  
78    340        16         2          -1                  
79    349        18         7          -1                  
80    356        15         10         78                  
81    358        22         9          79                  
82    361        22         4          -1                  
83    362        13         2          -1                  
84    366        12         10         79                  
85    373        27         7          83                  
86    381        10         7          82                  
87    385        5          2          -1                  
88    395        13         10         -1                  
89    399        8          7          -1                  
90    399        19         2          88                  
91    402        2          6          -1                  
92    404        2          3          89                  
93    404        23         10         91                  
94    405        5          6          -1                  
95    411        30         2          -1                  
96    418        5          3          93                  
97    427        28         7          95                  
98    429        26         7          -1                  
99    429        15         8          97                  
100   432        19         1          -1                  
