#id   arrival    runtime    priority   dependencyId         disk_base            limit               
1     1          23         3          -1                   0                    100                  
2     1          18         9          -1                   100                  200                  
3     5          6          1          -1                   300                  100                  
4     5          8          5          -1                   400                  400                  
5     6          16         0          2                    800                  100                  
6     14         27         5          -1                   900                  300                  
7     17         27         9          6                    1200                 400                  
8     17         18         8          7                    1600                 800                  
9     19         17         4          8                    2400                 700                  
10    23         10         9          7                    3100                 800                  
11    30         7          2          -1                   3900                 500                  
12    37         1          7          6                    4400                 700                  
13    47         21         8          -1                   5100                 600                  
14    57         21         3          -1                   5700                 300                  
15    65         22         2          -1                   6000                 900                  
16    66         26         8          14                   6900                 700                  
17    74         12         6          15                   7600                 600                  
18    80         28         2          15                   8200                 500                  
19    90         21         3          18                   8700                 400                  
20    96         2          10         19                   9100                 900                  
