#At   time       x          process    y                    state arr        w          total      z                    remain     wait                
At time 12    process 1     started arr 11    total 27    remain 27    wait 0    
At time 15    process 1     stopped arr 11    total 27    remain 19    wait -4   
At time 15    process 2     started arr 13    total 20    remain 20    wait 2    
At time 18    process 2     stopped arr 13    total 20    remain 12    wait -3   
At time 18    process 1     resumed arr 11    total 27    remain 19    wait -1   
At time 21    process 1     stopped arr 11    total 27    remain 11    wait -6   
At time 21    process 3     started arr 15    total 13    remain 13    wait 6    
At time 24    process 3     stopped arr 15    total 13    remain 5     wait 1    
At time 24    process 2     resumed arr 13    total 20    remain 12    wait 3    
At time 27    process 2     stopped arr 13    total 20    remain 4     wait -2   
At time 27    process 1     resumed arr 11    total 27    remain 11    wait 0    
At time 30    process 1     stopped arr 11    total 27    remain 3     wait -5   
At time 30    process 3     resumed arr 15    total 13    remain 5     wait 7    
At time 33    process 3     stopped arr 15    total 13    remain -3    wait 2    
At time 33    process 2     resumed arr 13    total 20    remain 4     wait 4    
At time 36    process 2     stopped arr 13    total 20    remain -4    wait -1   
At time 36    process 1     resumed arr 11    total 27    remain 3     wait 1    
At time 39    process 1     stopped arr 11    total 27    remain -5    wait -4   
At time 39    process 3     resumed arr 15    total 13    remain -3    wait 8    
At time 42    process 3     stopped arr 15    total 13    remain -11   wait 3    
At time 42    process 2     resumed arr 13    total 20    remain -4    wait 5    
At time 45    process 2     stopped arr 13    total 20    remain -12   wait 0    
At time 45    process 1     resumed arr 11    total 27    remain -5    wait 2    
At time 48    process 1     stopped arr 11    total 27    remain -13   wait -3   
At time 48    process 3     resumed arr 15    total 13    remain -11   wait 9    
At time 49    process 3     finished arr 15    total 13    remain 0     wait 21    TA 34    WTA 2.62
At time 49    process 2     resumed arr 13    total 20    remain -12   wait 4    
At time 52    process 2     stopped arr 13    total 20    remain -20   wait -1   
At time 52    process 1     resumed arr 11    total 27    remain -13   wait 1    
At time 55    process 1     stopped arr 11    total 27    remain -21   wait -4   
At time 55    process 2     resumed arr 13    total 20    remain -20   wait 2    
At time 55    process 2     finished arr 13    total 20    remain 0     wait 22    TA 42    WTA 2.10
At time 55    process 1     resumed arr 11    total 27    remain -21   wait -4   
At time 59    process 1     finished arr 11    total 27    remain 0     wait 21    TA 48    WTA 1.78
